first_release_date,genres,id,name,platforms,summary,storyline
1603670400,[32],149707,Trapped Guys,"[3, 6, 14]",Many rooms many traps as well as many rooms with traps Friends or rivals Trapped Guys is a multiplayer platformer where four friends unfortunately have to go through a difficult test which will show which of them is the fastest dexterous or perhaps the most insidious,Missing
1603411200,"[15, 31, 32]",149667,Clouds of Rain,[6],In Clouds of Rain you will play multiple characters each with his own story Explore a hand drawn world with various regions face harsh battles and sail the skies Resource management preparation and tactical fights are at the core of the game,Missing
1603238400,[32],149637,Save the Planet,[6],Protect your planet from alien attacks by controlling an orbital platform in this space arcade game And if you get bored  turn on the silent mode and enjoy this hell Score points upgrade your weapons compete with your friends and become the best,Missing
1601856000,[32],149610,The Heartbeat,[6],The Heartbeat is a lightweight political simulation game that incorporates rhythmic textoriented options All the player has to do in the game is keep himself and the city alive as much as possible,Missing
1601856000,"[32, 34]",149600,Throw Me in the River,"[6, 14]",A visual novel about a man experiencing his family relationships through a state of compressed time Choose what happened in his past and then watch it play out as you explore family dynamics and the effects that a persons life events can have on the way they interact with others,Missing
1603411200,[15],149590,My Empire,"[3, 6, 14]",My Empire is a fun turn based 4x strategy game,Missing
1602201600,Missing,149561,Blorks: The Quest for Magnesium,[6],Blorks The Quest for Magnesium is an intense bullethell shooter with psychedelic aesthetics reminiscent of late 90s console titles,Missing
1603065600,[32],149485,Notebook Artillery,[6],The classic game of Artillery with beautiful handdrawn art Play solo with Target Practice or play against a friend in Vs mode,Missing
1604016000,"[15, 32]",149478,Lakeview Cabin 2,"[6, 14]",The ultimate 2D horror is back Dive deep into the diverse world of horror movies Nothing can prepare you for the Rrated challenges you will face,Missing
1603843200,[12],149456,Divilixa,[6],Divilixa is a game about strife sacrifice and insanity Take the war down into the core of the underworld Fight the darkness Be the saviour,Missing
1603238400,"[15, 32]",149444,Knights of Grumthorr,[6],Realtime strategy and tactics in a fantasy world of knights and magic Command heroes soldiers and mages to battle against the armies of darkness Grumthorr needs you,Missing
1602720000,[32],149437,Happy Numbers,[6],Happy Numbers is a relaxing mindblending minimalist puzzle game that offer over 70 handcrafted levels to immerse your self into The game also constain a lot of beautiful characters to unlock,Missing
1603324800,"[13, 14, 31, 32]",149429,Hentai Maid Club,[6],If you dreamed of a luxurious housekeeper who will not only clean your house but also fulfill all your secret desires then this game is for you To win over your housekeeper you need not only flattering compliments but also an outstanding mind,Missing
1603152000,[32],149393,Autumn and Girls,[6],This game is a classic puzzle game with several levels of difficulty and beautiful arts Enjoy,Missing
1603843200,"[25, 31, 32]",149376,Vagrant Sword,"[3, 6, 14, 34, 39]",A Top Down Samurai Rogue Lite Defend a village from an army of Oni,A lone rōnin a clanless samurai wanders through a small village which has recently been invaded by a horde of demons who have taken up residence in the village pagoda  The townsfolk though weary and defeated offer whatever assistance they can while the rōnin ascends the pagoda Armed with only a wooden training sword he must fight your way through an endless tide of demons to reach the top and confront their general
1604016000,"[15, 32]",149367,Paranormal Enteties,[6],This game was created in 10 days for the 2020 Scream Jam All training and assets for this game were provided through the GameDevHQ Pro Membership If you have ever wished to tell a story through video games then stop by GameDevHQcom and start your career as a video game developer,You are Cliff a brand new freelance cameraman for Paranormal Entities the 2 ghost investigation show on the Hunting and Outdoors Cable Network You have been hired to inspect the St Augustine Asylum for the Mentally Ill Go into this facility follow the producers instruction through radio earpiece keep your camera on and try to make contact with the spirits inside If nothing happens you will get 500 for your time If you manage to get some amazing footage of real paranormal activity on your camera you will get an additional 2500 bonus Are you ready to be a part of Paranormal Entities history
