,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
244,35562,Egg Returns Home,"[3, 6, 14]",Egg Returns Home is a simple platformer about an egg which is trying to find his way back home At every level egg needs to get to the teleport,"[8, 32]",Missing,60.0,0.65,1.48,3.02,56.0,9.0,13.0
245,35484,XLarn,"[3, 6, 14]",This is a heavily extended version of one of the most famous roguelike games of the 80s named Larn Your choice is to find a magic elixier for your daughters recovery Therefore you have to explore a lot of unknown caves filled with monsters demons and traps Good luck You may need it,"[12, 32]",Missing,60.0,0.0,0.0,0.0,0.0,0.0,0.0
246,35477,Always the Same Blue Sky...,"[3, 6, 14]",A gripping seaside adventure following the connection of two young souls each unknowingly helping the other make sense of a world that seems senseless Complemented by breathtaking artwork and an addictive soundtrack this charming tale will definitely suck you in and leave a lasting impression,"[31, 32, 34]",Missing,60.0,0.73,0.96,1.18,64.0,8.0,27.0
247,35306,Dustbowl,[6],A postapocalyptic adventure game set in a world where the player must search for food water and essential supplies to survive Discover a world filled with colourful NPCs quests and secrets,"[12, 31, 32]",Missing,60.0,0.0,5.3,0.0,0.0,0.0,1.0
248,35281,Valiant: Resurrection,[6],Travel to the cloud land of Asteria home of the mighty titans and all types of magical creatures Its here where Argo and his dragon Golagros must go to restore the life of a fallen princess With the help of the inhabitants you must face the Fallen Titans and avoid the Judges a shadow race who watch over all of Asteria Explore the lands of Sirenus Bay Gods Garden Whitebleak Fort Ember God Snare and the mysterious Immortals Abyss Are you brave enough for this adventure,"[12, 31, 32]",Missing,60.0,0.0,10.0,12.88,35.0,2.0,2.0
249,35258,Airport Madness: World Edition,"[6, 14]",Insanely addictive easy to learn impossible to master Airport Madness is an airport strategy game Designed by real air traffic controllers Airport Madness captures the fun aspects of air traffic control The decisions and actions you make in this game are identical to realworld airport ops,[31],Missing,60.0,6.68,12.84,0.0,60.0,5.0,4.0
250,35217,Two Digits,"[3, 6, 14]",Simple minimalist and difficult Two Digits is a perfect blend between insanity and happiness You are given 9 numbers less than 100 and all you have to do is to choose two subsets with the same sum,[32],Missing,60.0,4.0,0.0,4.36,45.0,11.0,22.0
251,35185,Football Mogul 2014,[6],Football Mogul 2014 is the 11th version of the addictive football simulation game from the makers of Baseball Mogul  This version includes rosters and player ratings for opening weekend of the 20132014 season Enjoy controlling your football franchise in any year from 1970 to 2013 Lead your team to the promise land and hoist the Lombardi Trophy,"[13, 14, 15]",Missing,60.0,0.0,0.0,0.0,0.0,0.0,0.0
252,35173,Stargazer,[6],When stargazer Zach watches the sky one night he sees a star fall and land in the nearby woods He rushes to check it out only to find that out the star was actually a girl and with her magic returns to the world,[12],Missing,60.0,0.0,0.0,0.0,0.0,0.0,0.0
253,35167,Cash_Out,[6],Cash_Out is a top down shooter with stealth and action in mind where the goal of the game is to raid the building and steal cash Levels are procedurally generated with randomized weapons as well There are many different items clothing sets and skills that you can use to give you the edge while raiding,Missing,Missing,60.0,0.0,0.0,0.0,0.0,0.0,0.0
